"Crook IPA", "IL", "350 Brewing Co.", "-", "no score", "5", "46", "4.18", "American IPA", "6.90%", "Rotating", "oso on 03-13-2014", "3/13/2014" 
"Disconnected", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "4.26", "American Black Ale", "5.40%", "Limited (brewed once)", "Hopmarc on 09-23-2014This beer is retired; no longer brewed.", "9/23/2014" 
"Dog People", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "0", "Rye Beer", "7.20%", "Rotating", "Chris-1911 on 11-07-2015", "11/7/2015" 
"Double Crook", "IL", "350 Brewing Co.", "-", "no score", "4", "13", "4.02", "American Double / Imperial IPA", "11.00%", "Limited (brewed once)", "BeerOps on 08-23-2015This beer is retired; no longer brewed.", "8/23/2015" 
"Dreamsickle", "IL", "350 Brewing Co.", "-", "no score", "1", "13", "3.99", "American Pale Wheat Ale", "5.70%", "Rotating", "TMoney2591 on 03-31-2015", "3/31/2015" 
"Dropout", "IL", "350 Brewing Co.", "-", "no score", "0", "10", "0", "Oatmeal Stout", "7.30%", "Rotating", "Ken134 on 09-11-2014", "9/11/2014" 
"El Scorcho Belgian Amber", "IL", "350 Brewing Co.", "-", "no score", "0", "3", "4.33", "Belgian Dark Ale", "5.50%", "Limited (brewed once)", "Brenden on 07-01-2014This beer is retired; no longer brewed.", "7/1/2014" 
"Farm House Party", "IL", "350 Brewing Co.", "-", "no score", "1", "2", "4.04", "Saison / Farmhouse Ale", "4.50%", "Limited (brewed once)", "darktronica on 11-06-2015", "11/6/2015" 
"Fat & Married", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "0", "Milk / Sweet Stout", "10.00%", "Limited (brewed once)", "enelson on 12-06-2015", "12/6/2015" 
"Fat Stacks", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "3.95", "American IPA", "7.50%", "Limited (brewed once)", "HabaJohn on 12-03-2014This beer is retired; no longer brewed.", "12/3/2014" 
